NUMERO;GENERO;TIPO_COLEGIO;LOCALIDAD_COLEGIO;CALENDARIO;MUNICIPIO;DEPARTAMENTO;PG_ICFES;CON_MAT_ICFES;APT_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;APT_VERB_ICFES;LITERATURA_ICFES;BIOLOGIA_ICFES;SOCIALES_ICFES;FILOSOFIA_ICFES;IDIOMA_ICFES;LOCALIDAD;DISTANCIA;INSCRIPCION;ESTRATO;ANO_INGRESO;RENDIMIENTO_UNO
1981;0;0;0;0;0;0;347;70;0;0;0;0;69;68;70;0;71;10;3;9;3;2018;2
1982;0;0;0;0;0;0;361;78;0;0;0;0;69;76;70;0;59;11;5;9;2;2018;1
1983;0;0;0;0;0;0;337;73;0;0;0;0;66;69;65;0;57;20;6;9;1;2018;2
1984;0;0;0;0;0;0;287;58;0;0;0;0;55;56;62;0;54;10;3;7;2;2018;2
1985;0;0;0;0;0;0;292;61;0;0;0;0;56;61;61;0;42;3;1;7;2;2018;2
1986;0;0;0;0;0;0;370;73;0;0;0;0;75;70;74;0;85;19;5;9;1;2018;2
1987;0;0;0;0;0;0;337;77;0;0;0;0;64;75;60;0;49;20;6;9;2;2018;1
1988;0;0;0;0;0;0;379;76;0;0;0;0;75;81;70;0;78;4;4;9;2;2018;2
1989;0;0;0;0;0;0;342;75;0;0;0;0;73;67;60;0;64;4;4;9;3;2018;2
1990;0;0;0;0;0;0;342;73;0;0;0;0;64;71;65;0;67;7;5;9;2;2018;1
1991;0;0;0;0;0;0;348;68;0;0;0;0;69;70;76;0;57;11;5;9;3;2018;1
1992;1;0;0;0;0;0;300;57;0;0;0;0;67;60;58;0;54;20;6;5;0;2018;1
1993;0;0;0;0;0;0;340;72;0;0;0;0;64;64;70;0;74;19;5;9;1;2018;1
1994;1;0;0;0;0;0;343;68;0;0;0;0;69;68;68;0;72;7;5;9;2;2018;1
1995;1;0;0;0;0;0;342;68;0;0;0;0;74;66;68;0;61;7;5;9;2;2018;1
1996;1;0;0;0;0;0;343;66;0;0;0;0;72;70;69;0;61;7;5;9;2;2018;2
1997;1;0;0;0;0;0;334;74;0;0;0;0;63;65;66;0;64;8;3;9;3;2018;2
1998;0;0;0;0;0;0;329;74;0;0;0;0;56;68;66;0;64;10;3;9;3;2018;1
1999;1;0;0;0;0;0;336;73;0;0;0;0;65;67;68;0;58;4;4;9;2;2018;2
2000;1;0;0;0;0;0;340;69;0;0;0;0;69;68;65;0;71;10;3;9;3;2018;1
2001;0;0;0;0;0;0;330;70;0;0;0;0;65;72;62;0;51;8;3;11;2;2018;3
2002;1;0;0;0;0;0;330;70;0;0;0;0;65;69;65;0;51;5;6;11;1;2018;3
2003;0;0;0;0;0;0;336;71;0;0;0;0;68;69;64;0;57;20;6;9;2;2018;1
2004;0;0;0;0;0;0;342;68;0;0;0;0;71;68;70;0;58;11;5;9;3;2018;2
2005;1;0;0;0;0;0;347;69;0;0;0;0;68;71;69;0;71;19;5;10;1;2018;2
2006;0;0;0;0;0;0;348;67;0;0;0;0;69;67;76;0;68;11;5;9;2;2018;1
2007;0;0;0;0;0;0;340;70;0;0;0;0;71;67;66;0;63;11;5;9;3;2018;2
2008;1;0;0;0;0;0;351;69;0;0;0;0;71;63;78;0;70;7;5;9;2;2018;3
