NUMERO;GENERO;TIPO_COLEGIO;LOCALIDAD_COLEGIO;CALENDARIO;MUNICIPIO;DEPARTAMENTO;PG_ICFES;CON_MAT_ICFES;APT_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;APT_VERB_ICFES;LITERATURA_ICFES;BIOLOGIA_ICFES;SOCIALES_ICFES;FILOSOFIA_ICFES;IDIOMA_ICFES;LOCALIDAD;DISTANCIA;INSCRIPCION;ESTRATO;ANO_INGRESO;RENDIMIENTO_UNO
1792;1;0;0;0;0;0;367;77;0;0;0;0;76;67;68;0;89;9;4;9;3;2018;2
1793;0;0;0;0;0;0;343;72;0;0;0;0;66;71;64;0;74;11;5;9;3;2018;2
1794;0;0;0;0;0;0;372;74;0;0;0;0;68;73;83;0;72;19;5;9;1;2018;2
1795;1;0;0;0;0;0;295;57;0;0;0;0;58;60;62;0;57;18;3;7;2;2018;1
1796;0;0;0;0;0;0;355;79;0;0;0;0;68;70;68;0;67;11;5;9;3;2018;1
1797;0;0;0;0;0;0;357;73;0;0;0;0;74;69;72;0;64;10;3;9;3;2018;1
1798;1;0;0;0;0;0;353;71;0;0;0;0;69;70;71;0;74;16;2;9;3;2018;2
1799;0;0;0;0;0;0;350;78;0;0;0;0;70;72;64;0;58;20;6;9;3;2018;2
1800;0;0;0;0;0;0;373;74;0;0;0;0;71;79;74;0;76;8;3;9;2;2018;2
1801;0;0;0;0;0;0;372;72;0;0;0;0;68;63;100;0;59;5;6;9;2;2018;2
1802;0;0;0;0;0;0;361;80;0;0;0;0;69;66;72;0;77;9;4;9;2;2018;2
1803;1;0;0;0;0;0;360;77;0;0;0;0;69;70;73;0;68;8;3;9;2;2018;2
1804;0;0;0;0;0;0;295;55;0;0;0;0;62;55;66;0;53;19;5;7;2;2018;1
1805;1;0;0;0;0;0;336;77;0;0;0;0;57;85;63;0;44;6;5;9;1;2018;1
1806;0;0;0;0;0;0;357;73;0;0;0;0;73;69;68;0;78;11;5;9;5;2018;1
1807;1;0;0;0;0;0;354;70;0;0;0;0;71;72;70;0;71;10;3;9;3;2018;1
1808;0;0;0;0;0;0;384;79;0;0;0;0;78;73;78;0;75;1;5;9;4;2018;2
1809;0;0;0;0;0;0;361;73;0;0;0;0;68;73;77;0;66;9;4;9;2;2018;1
1810;0;0;0;0;0;0;350;75;0;0;0;0;68;69;67;0;74;10;3;9;2;2018;2
