Tipo de escenario,Corregimiento o comuna,VeredaBarrio,Nombre barrio o vereda,Nombre escenario deportivo,Dirección,Longitud,latitud,georeferenciacion
Placa Polideportiva,Corregimiento Centro o Casimiro García,Vereda,Abreo,Placa polideportiva escuela María inmaculada abreo,Abreo,6.66170317,75.75399882,POINT (6.66170317 75.75399882)
Placa Polideportiva,Corregimiento Centro o Casimiro García,Vereda,Abreito,Placa polideportiva abreito,Abreito,6.66164962,75.75411352,POINT (6.66164962 75.75411352)
Parques infantiles,Corregimiento Centro o Casimiro García,Vereda,Abreito,Parque infantil abreito,Abreito,6.66164962,75.75411352,POINT (6.66164962 75.75411352)
Gimnasio al aire libre,Corregimiento Centro o Casimiro García,Vereda,Abreito,Gimnasio al aire libre abreito,Abreito,6.66164962,75.75411352,POINT (6.66164962 75.75411352)
Placa Polideportiva,Corregimiento Centro o Casimiro García,Vereda,Las cuchillas,Placa polideportiva colegio las cuchillas,Las cuchillas,6.66179299,75.75393679,POINT (6.66179299 75.75393679)
Placa Polideportiva,Corregimiento Occidente o José María Córdova Muñoz,Vereda,El carmín,Placa polideportivo los felisos el carmín,El carmín,6.66186862,75.75415577,POINT (6.66186862 75.75415577)
Gimnasio al aire libre,Corregimiento Centro o Casimiro García,Vereda,El carmín,Gimnasio la aire libre el carmín,El carmín,6.66190138,75.75414629,POINT (6.66190138 75.75414629)
Placa Polideportiva,Corregimiento Occidente o José María Córdova Muñoz,Vereda,El carmin,Placa polideportiva escuela el carmín,El carmín,6.66190138,75.75414629,POINT (6.66190138 75.75414629)
Cancha de fútbol arena,Corregimiento Centro o Casimiro García,Vereda,El carmín,Cancha de fútbol de arena del carmin,El carmín,6.66199457,75.75421965,POINT (6.66199457 75.75421965)
Gimnasio al aire libre,Corregimiento Centro o Casimiro García,Vereda,Mampuesto,Gimnasio al aire libre escuela de mampuesto,Escuela mampuesto,6.66212869,75.754079,POINT (6.66212869 75.754079)
Placa Polideportiva,Corregimiento Centro o Casimiro García,Vereda,Mampuesto,Placa polideportiva escuela de mampuesto,Escuela mampuesto,6.66212869,75.754079,POINT (6.66212869 75.754079)
Cancha de futbol de grama,Corregimiento Centro o Casimiro García,Vereda,Mampuesto,Cancha de fútbol de mampuesto,Mampuesto,6.66205147,75.75407769,POINT (6.66205147 75.75407769)
Placa Polideportiva,Corregimiento Sur o Gilberto Echeverri Mejía,Vereda,La playa,Placa polideportiva la playa,La playa. sector la esperanza,6.66209457,75.7538684,POINT (6.66209457 75.7538684)
Cancha de fútbol sintética,Comuna 1 Liborio Mejía,Barrio,Laureles,Cancha de fútbol Campo Santander,Carrera51 #2832,6.66157582,75.75372677,POINT (6.66157582 75.75372677)
Gimnasio,Comuna 1 Liborio Mejía,Barrio,Laureles,Gimnasio Rubén Dario Quintero,Carrera51 #2832,6.66157582,75.75372677,POINT (6.66157582 75.75372677)
Placa Polideportiva,Comuna 1 Liborio Mejía,Barrio,Laureles,Coliseo Rubén Dario Quintero Villada,Cra. 51 #2832,6.66157582,75.75372677,POINT (6.66157582 75.75372677)
Gimnasio al aire libre,Comuna 1 Liborio Mejía,Barrio,Fontibon,Gimnasio al aire libre fontibon,Calle 67,6.66167228,75.7537454,POINT (6.66167228 75.7537454)
Gimnasio al aire libre,Corregimiento Centro o Casimiro García,Vereda,Alto bonito,Gimnasio al aire libre alto bonito,Alto bonito,6.66164227,75.75384979,POINT (6.66164227 75.75384979)
Placa Polideportiva,Corregimiento Centro o Casimiro García,Vereda,Alto bonito,Placa polideportiva alto bonito,Alto bonito,6.66164227,75.75384979,POINT (6.66164227 75.75384979)
Cancha de fútbol sintética,Corregimiento Centro o Casimiro García,Vereda,Las cuchillas,cancha de futbol cuchillas,Las cuchillas,6.66184415,75.75395782,POINT (6.66184415 75.75395782)
Gimnasio al aire libre,Corregimiento Centro o Casimiro García,Vereda,Cuchillas de San jose,Gimnasio al aire libre cuchillas,Las cuchillas,6.66184415,75.75395782,POINT (6.66184415 75.75395782)
Cancha de fútbol arena,Corregimiento Centro o Casimiro García,Vereda,La laja,Cancha de Fútbol la laja,La laja,6.66178308,75.75375351,POINT (6.66178308 75.75375351)
Gimnasio al aire libre,Corregimiento Norte o Néstor Esteban Sanint Arbeláez,Vereda,La laja,Gimnasio al aire libre la laja,La laja,6.66178308,75.75375351,POINT (6.66178308 75.75375351)
Placa Polideportiva,Corregimiento Norte o Néstor Esteban Sanint Arbeláez,Vereda,La laja,Placa polideportiva la laja,La laja,6.66186617,75.75379572,POINT (6.66186617 75.75379572)
Placa Polideportiva,Corregimiento Norte o Néstor Esteban Sanint Arbeláez,Vereda,Santa barbara,Placa polideportiva santa bárbara,Santa bárbara,6.66202092,75.7538181,POINT (6.66202092 75.7538181)
Placa Polideportiva,Corregimiento Norte o Néstor Esteban Sanint Arbeláez,Vereda,Santa bárbara,Placa polideportiva santa bárbara,Santa bárbara,6.66194593,75.75370307,POINT (6.66194593 75.75370307)
Placa Polideportiva,Corregimiento Norte o Néstor Esteban Sanint Arbeláez,Vereda,Santa bárbara,Placa polideportiva santa bárbara,Santa bárbara,6.66194593,75.75370307,POINT (6.66194593 75.75370307)
Gimnasio al aire libre,Corregimiento Norte o Néstor Esteban Sanint Arbeláez,Vereda,Santa barbara,Gimnasio al aire libre santa barbara,Santa bárbara,6.66194593,75.75370307,POINT (6.66194593 75.75370307)
Cancha de fútbol sintética,Corregimiento Norte o Néstor Esteban Sanint Arbeláez,Vereda,Santa barbara,Cancha de fútbol santa bárbara,Santa bárbara,6.66194593,75.75370307,POINT (6.66194593 75.75370307)
Placa Polideportiva,Corregimiento Norte o Néstor Esteban Sanint Arbeláez,Vereda,Santa barbara,Placa polideportiva santa bárbara,Santa bárbara,6.6619898,75.75367593,POINT (6.6619898 75.75367593)
Placa Polideportiva,Corregimiento Norte o Néstor Esteban Sanint Arbeláez,Vereda,Los pinos,Placa polideportiva,Los pinos,6.66204158,75.75348513,POINT (6.66204158 75.75348513)
Cancha de fútbol arena,Corregimiento Norte o Néstor Esteban Sanint Arbeláez,Vereda,Los pinos,Cancha los pinos,Los pinos,6.66206157,75.75354401,POINT (6.66206157 75.75354401)
Placa Polideportiva,Corregimiento Norte o Néstor Esteban Sanint Arbeláez,Vereda,San Luis,Placa polideportiva San Luis,Escuela San Luis,6.66219105,75.75373355,POINT (6.66219105 75.75373355)
Cancha de fútbol arena,Corregimiento Norte o Néstor Esteban Sanint Arbeláez,Vereda,San Luis,Cancha de arena de San Luis,San Luis,6.66223795,75.75370094,POINT (6.66223795 75.75370094)
Gimnasio al aire libre,Corregimiento Norte o Néstor Esteban Sanint Arbeláez,Vereda,San Luis,Gimnasio al aire libre San Luis,San luis,6.66222889,75.75368332,POINT (6.66222889 75.75368332)
