Tipo de escenario,Corregimiento o comuna,VeredaBarrio,Nombre barrio o vereda,Nombre escenario deportivo,Dirección,Longitud,latitud,georeferenciacion
Placa Polideportiva,Comuna 4 El Porvenir,Barrio,Santa Teresa,placa polideportiva santa teresa,Cl. 47a #68b 3-42 a 68b 3-72,6.6615224,75.75387531,POINT (6.6615224 75.75387531)
Placa Polideportiva,Comuna 4 El Porvenir,Barrio,Quintas del Carretero 1,placa polideportiva quintas del carretero 1,Cl. 45b #61-75 a 61-1,6.6615014,75.75382037,POINT (6.6615014 75.75382037)
Gimnasio al aire libre,Comuna 4 El Porvenir,Barrio,Quintas del Carretero 1,gimnasio al aire libre quintas del carretero,Cl. 45b #61-75 a 61-1,6.6615014,75.75382037,POINT (6.6615014 75.75382037)
Placa Polideportiva,Comuna 4 El Porvenir,Barrio,Porvenir primera etapa,placa polideportiva la primavera,Cl. 42 #62-134 a 62-188,6.66148799,75.75385156,POINT (6.66148799 75.75385156)
Placa Polideportiva,Comuna 4 El Porvenir,Barrio,Vegas de la calleja,placa polideportiva vegas de la calleja,Cl. 40 #62-2 a 62-34,6.66146111,75.75384791,POINT (6.66146111 75.75384791)
Gimnasio al aire libre,Comuna 4 El Porvenir,Barrio,Vegas de calleja,gimnasio al aire libre vegas de la calleja,Cl. 40 #62-2 a 62-34,6.66146111,75.75384791,POINT (6.66146111 75.75384791)
Cancha de fútbol sintética,Comuna 4 El Porvenir,Barrio,Porvenir 1 etapa,,Cl. 40 #64-2 a 64-40,6.66146704,75.75386654,POINT (6.66146704 75.75386654)
Placa Polideportiva,Comuna 4 El Porvenir,Barrio,Porvenir 1 etapa,placa polideportiva primera etapa,Cl. 40 #64-2 a 64-40,6.66146704,75.75386654,POINT (6.66146704 75.75386654)
Parques infantiles,Comuna 4 El Porvenir,Barrio,Porvenir 1 etapa,parque infantil primera etapa,Cl. 40 #64-2 a 64-40,6.66146704,75.75386654,POINT (6.66146704 75.75386654)
Gimnasio al aire libre,Comuna 4 El Porvenir,Barrio,Porvenir 1 etapa,gimnasio al aire libre primera etapa,Cl. 40 #64-2 a 64-40,6.66146704,75.75386654,POINT (6.66146704 75.75386654)
Placa Polideportiva,Comuna 4 El Porvenir,Barrio,Porvenir 8tva etapa,placa polideportiva octava etapa,Cl. 40c #72-73 a 72-1,6.66148193,75.75391775,POINT (6.66148193 75.75391775)
Gimnasio al aire libre,Comuna 4 El Porvenir,Barrio,Barrio linda granja,gimnasio al aire libre linda granja,Cra. 77,6.66153224,75.75393755,POINT (6.66153224 75.75393755)
Gimnasio al aire libre,Comuna 4 El Porvenir,Barrio,El llanito,Gimansio el llanito mirador del lago,Cra. 81 #41a-2 a 41a-42,6.66150199,75.75395724,POINT (6.66150199 75.75395724)
Parques infantiles,Comuna 4 El Porvenir,Barrio,Porvenir 4 etapa,parque infantil cuarta etapa,Cl. 42 #74-2 a 74-38,6.66149529,75.75391591,POINT (6.66149529 75.75391591)
Gimnasio al aire libre,Comuna 4 El Porvenir,Barrio,Porvenir 4 etapa,gimnasio al aire libre cuarta etapa,Cl. 42 #74-2 a 74-38,6.66149529,75.75391591,POINT (6.66149529 75.75391591)
Placa Polideportiva,Comuna 4 El Porvenir,Barrio,Porvenir 4 etapa,placa polideportiva cuarta etapa,Cl. 42 #74-2 a 74-38,6.66149529,75.75391591,POINT (6.66149529 75.75391591)
Parques infantiles,Comuna 4 El Porvenir,Barrio,Porvenir 3 etapa,parque infantil tercera etapa,Cra. 68 #41ab-2 a 41ab-14,6.66149265,75.75387554,POINT (6.66149265 75.75387554)
Gimnasio al aire libre,Comuna 4 El Porvenir,Barrio,Porvenir 3 etapa,gimnasio al aire libre tercera etapa,Cra. 68 #41ab-2 a 41ab-14,6.66149265,75.75387554,POINT (6.66149265 75.75387554)
Placa Polideportiva,Comuna 4 El Porvenir,Barrio,Porvenir 3 etapa,placa polideportiva 3 etapa,Cra. 68 #41ab-2 a 41ab-14,6.66149265,75.75387554,POINT (6.66149265 75.75387554)
Placa Polideportiva,Comuna 4 El Porvenir,Barrio,Las torres,placa polideportiva las torres,Dg. 57a #60-12 a 60-36,6.66145778,75.75380962,POINT (6.66145778 75.75380962)
